2024-03-15T08:05:12Z [WARN]  ROUTER-LAB-01 | SSH login failed | User: admin | Source: 10.99.1.15 | Attempt: 1
2024-03-15T08:05:13Z [WARN]  ROUTER-LAB-01 | SSH login failed | User: admin | Source: 10.99.1.15 | Attempt: 2
2024-03-15T08:05:14Z [WARN]  ROUTER-LAB-01 | SSH login failed | User: root | Source: 10.99.1.15 | Attempt: 3
2024-03-15T08:05:15Z [WARN]  ROUTER-LAB-01 | SSH login failed | User: admin | Source: 10.99.1.15 | Attempt: 4
2024-03-15T08:05:16Z [WARN]  ROUTER-LAB-01 | SSH login failed | User: cisco | Source: 10.99.1.15 | Attempt: 5
2024-03-15T08:05:17Z [WARN]  ROUTER-LAB-01 | SSH login failed | User: test | Source: 10.99.1.15 | Attempt: 6
2024-03-15T08:05:18Z [WARN]  ROUTER-LAB-01 | SSH login failed | User: admin | Source: 10.99.1.15 | Attempt: 7
2024-03-15T08:05:19Z [WARN]  ROUTER-LAB-01 | SSH login failed | User: root | Source: 10.99.1.15 | Attempt: 8
2024-03-15T08:05:20Z [WARN]  ROUTER-LAB-01 | SSH login failed | User: admin | Source: 10.99.1.15 | Attempt: 9
2024-03-15T08:05:21Z [WARN]  ROUTER-LAB-01 | SSH login failed | User: enable | Source: 10.99.1.15 | Attempt: 10
2024-03-15T08:06:15Z [CRIT]  ROUTER-LAB-01 | Brute force threshold exceeded | Source: 10.99.1.15 | Attempts: 53/min | Action: Account locked
2024-03-15T08:07:00Z [WARN]  FIREWALL-01 | Connection attempt | Source: 10.99.1.15 | Dest: 10.0.0.1:22 | Protocol: TCP
2024-03-15T08:07:00Z [WARN]  FIREWALL-01 | Connection attempt | Source: 10.99.1.15 | Dest: 10.0.0.1:23 | Protocol: TCP
2024-03-15T08:07:01Z [WARN]  FIREWALL-01 | Connection attempt | Source: 10.99.1.15 | Dest: 10.0.0.1:80 | Protocol: TCP
2024-03-15T08:07:01Z [WARN]  FIREWALL-01 | Connection attempt | Source: 10.99.1.15 | Dest: 10.0.0.1:443 | Protocol: TCP
2024-03-15T08:07:02Z [WARN]  FIREWALL-01 | Connection attempt | Source: 10.99.1.15 | Dest: 10.0.0.1:8080 | Protocol: TCP
2024-03-15T08:07:02Z [WARN]  FIREWALL-01 | Connection attempt | Source: 10.99.1.15 | Dest: 10.0.0.1:161 | Protocol: UDP
2024-03-15T08:07:03Z [WARN]  FIREWALL-01 | Connection attempt | Source: 10.99.1.15 | Dest: 10.0.0.1:53 | Protocol: UDP
2024-03-15T08:07:10Z [CRIT]  FIREWALL-01 | Port scan detected | Source: 10.99.1.15 | Ports scanned: 127 | Duration: 10s
2024-03-15T08:09:00Z [WARN]  ROUTER-LAB-01 | Unusual traffic spike | Inbound: 850Mbps | Normal baseline: 250Mbps | Interface: GE0/0
2024-03-15T08:09:30Z [CRIT]  ROUTER-LAB-01 | SYN flood detected | Source subnet: 10.99.0.0/16 | Rate: 15000 SYN/sec | Interface: GE0/0
2024-03-15T08:10:00Z [CRIT]  ROUTER-LAB-01 | Interface GE0/0 saturated | Utilization: 97% | Capacity: 1Gbps
2024-03-15T08:11:00Z [WARN]  ROUTER-LAB-01 | BGP UPDATE received | Peer: 192.168.100.1 | Prefix: 10.0.0.0/8 | AS_PATH: 65100 65999
2024-03-15T08:11:00Z [WARN]  ROUTER-LAB-01 | BGP route origin mismatch | Expected origin AS: 65001 | Received AS: 65999 | Prefix: 10.0.0.0/8
2024-03-15T08:11:01Z [CRIT]  ROUTER-LAB-01 | Possible BGP hijack detected | Prefix: 10.0.0.0/8 | Rogue AS: 65999 | Action: Route filtered
2024-03-15T08:12:00Z [WARN]  SW-LAB-01 | Gratuitous ARP received | IP: 10.0.0.1 | New MAC: aa:bb:cc:dd:ee:ff | Interface: GE0/12
2024-03-15T08:12:00Z [WARN]  SW-LAB-01 | MAC address conflict detected | IP: 10.0.0.1 | Existing MAC: 00:1a:2b:3c:4d:5e | New MAC: aa:bb:cc:dd:ee:ff
2024-03-15T08:12:01Z [CRIT]  SW-LAB-01 | ARP spoofing detected | Attacker MAC: aa:bb:cc:dd:ee:ff | Victim IP: 10.0.0.1 | Interface: GE0/12
2024-03-15T08:13:00Z [WARN]  ROUTER-LAB-01 | Configuration change detected | User: unknown_user | Source: 10.99.1.15 | Method: SSH
2024-03-15T08:13:01Z [CRIT]  ROUTER-LAB-01 | ACL modified without authorization | ACL: MGMT-ACCESS | Change: permit ip any any added | User: unknown_user
2024-03-15T08:13:02Z [CRIT]  ROUTER-LAB-01 | SNMP community string changed | Old: [REDACTED] | New: public | User: unknown_user | Source: 10.99.1.15
2024-03-15T08:14:00Z [WARN]  SW-LAB-01 | New device detected on port GE0/45 | MAC: ff:ee:dd:cc:bb:aa | No CDP/LLDP neighbor
2024-03-15T08:14:00Z [WARN]  SW-LAB-01 | Device not in inventory | MAC: ff:ee:dd:cc:bb:aa | IP: 10.0.0.99 | Port: GE0/45
2024-03-15T08:14:01Z [CRIT]  SW-LAB-01 | DHCP snooping violation | Port: GE0/45 | Unauthorized DHCP server detected | MAC: ff:ee:dd:cc:bb:aa
